"","ps_id","const230_h","c230_id_h","fid0725","npp2008ps_pres_p","ndc2008ps_pres_p","totalvotes2008ps_pres","akan_p","akan_p_poly","ewe_p_poly","moledagbon_p_poly","gadangbe_p_poly","guan_p_poly","gurma_p_poly","mande_p_poly","other_eth_p_poly","grusi_p_poly","otherethn_p_poly","english_percent","public_semipublic_p","dev_factor2","akan_30km_l_p","ewe_30km_l_p","akan_30km_lalt_p","akan_20km_l_p","ewe_20km_l_p","akan_40km_l_p","ewe_40km_l_p","h_30rad_e","ethfrac_30km_l","ethfrac_poly","area_sqkm","sex_total"
"1",10001,"ASUNAFO NORTH",201,10223,0.7175325,0.237013,308,0.6985228,0.4913958,0.082218,0.3652008,0.0038241,0.0229446,0.0133843,0,0.0152964,0.0057361,0.0573613766730402,0.3537906,0.0149254,-0.3351343,0.6848661,0.0450468,0.6963457,0.6388816,0.053999,0.7035947,0.0428749,0.0318194,0.4981171,0.6174117,16.20542,568
"2",10002,"ASUNAFO NORTH",201,9791,0.4977099,0.4641221,655,0.6985228,0.851735,0.0031546,0.1356467,0.0015773,0,0,0.0078864,0,0,0.00788643533123028,0.5065789,0.1015625,-0.4825754,0.7174489,0.0377566,0.7097151,0.7112371,0.0390726,0.7290273,0.0367571,0.0295705,0.4610133,0.2560728,13.03781,637
"3",10003,"ASUNAFO NORTH",201,9786,0.4236111,0.5486111,144,0.6985228,0.6334842,0,0.3257919,0.040724,0,0,0,0,0,0,0.4758064,0.0254237,-0.4132667,0.7042623,0.036184,0.7078134,0.6538707,0.0415475,0.7238008,0.036043,0.0353999,0.4753804,0.490899,0.316232,232
"4",10004,"ASUNAFO NORTH",201,9839,0.6185567,0.314433,194,0.6985228,0.9792387,0.017301,0,0.0034602,0,0,0,0,0,0,0.6411765,0.0516129,-0.4825754,0.6947172,0.0515354,0.6868022,0.7147618,0.0524351,0.6903039,0.0486752,0.0256008,0.4938707,0.0407802,0.453375,329
"5",10005,"ASUNAFO NORTH",201,849,0.546875,0.409375,320,0.6985228,0.9547368,0.0021053,0.0326316,0.0052632,0,0.0005263,0,0.0031579,0.0015789,0.00526315789473684,0.5699264,0.0681004,-0.4326906,0.7455567,0.0362119,0.7135003,0.7668018,0.031238,0.7395669,0.0366498,0.025494,0.4286407,0.0873679,1.024151,2000
"6",10006,"ASUNAFO NORTH",201,10216,0.5212528,0.442953,447,0.6985228,0.5700824,0.0718492,0.2803298,0.0047114,0.008245,0.0176678,0.0058893,0.0200236,0.0212014,0.0730270906949352,0.4016736,0.019573,-0.4825754,0.6874095,0.0488403,0.6984189,0.6649268,0.0541732,0.7136096,0.042454,0.0317855,0.4986012,0.5899714,12.51048,895
"7",10007,"ASUNAFO NORTH",201,9853,0.3378378,0.6283784,148,0.6985228,0.4754991,0.1252269,0.0744102,0.0018149,0.2794918,0.0254083,0,0,0.0181488,0.323049001814882,0.5544555,0.0329218,-0.4825754,0.6119002,0.0741309,0.6205944,0.5629408,0.0974179,0.6286311,0.0646856,0.0289189,0.5917342,0.673588,0.308715,602
"8",10008,"ASUNAFO NORTH",201,10023,0.4274194,0.5725806,124,0.6985228,0.6976744,0.0310078,0.1337209,0.0155039,0,0.0503876,0.0368217,0.0077519,0.0271318,0.122093023255814,0.4530201,0.0127119,-0.4323805,0.7034692,0.0446276,0.7012039,0.7300636,0.0369104,0.7057334,0.0444888,0.0220646,0.4833371,0.4894763,19.83291,559
"9",10009,"ASUNAFO NORTH",201,10213,0.468,0.496,250,0.6985228,0.6775885,0.0183486,0.2385321,0.0039318,0.0039318,0.0366972,0.0052425,0.0052425,0.0104849,0.0615989515072084,0.4125,0.0174292,-0.0571158,0.7144276,0.0339691,0.7187975,0.6639038,0.0387724,0.7285649,0.0347141,0.038259,0.4627664,0.4820971,20.11445,800
"10",10010,"ASUNAFO NORTH",201,9835,0.5652174,0.3861893,391,0.6985228,0.9143302,0,0.0732087,0,0,0.0093458,0.0015576,0,0.0015576,0.0124610591900312,0.6596386,0.0107527,0.5597211,0.7219443,0.0460747,0.714381,0.7348209,0.0462385,0.7075438,0.0483188,0.0121415,0.4597167,0.1585485,0.403392,647
